MAE:  0.3684230605101545 MAPE:  0.001535864017467711  %  MSE:  0.03280514239826722 
               0         1         2         3         4         5         6
0      0.137651  0.130685  0.125109  0.131472  0.120863  0.141917  0.117055
1      0.119525  0.116789  0.107295  0.109977  0.103817  0.128092  0.100751
2      0.104551  0.097947  0.098165  0.096056  0.096956  0.114794  0.095569
3      0.093392  0.088760  0.089881  0.090275  0.087329  0.110725  0.086613
4      0.087472  0.084341  0.085697  0.082828  0.081570  0.103940  0.081915
...         ...       ...       ...       ...       ...       ...       ...
23983  0.439148  0.399722  0.324971  0.376369  0.336116  0.419193  0.349976
23984  0.465532  0.424862  0.346820  0.402433  0.358025  0.448211  0.373965
23985  0.486171  0.444936  0.363057  0.420768  0.373835  0.469102  0.392718
23986  0.506958  0.466821  0.391517  0.456788  0.406947  0.514375  0.435233
23987  0.492649  0.454331  0.384460  0.450138  0.404430  0.504554  0.429002

[23988 rows x 7 columns]
